======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [40] | ExpSup=25775.0900
Itemset [49] | ExpSup=21463.7900
Itemset [39] | ExpSup=7914.9100
Itemset [33] | ExpSup=7732.8800
Itemset [42] | ExpSup=7624.8500
Itemset [40, 49] | ExpSup=7601.7100
Itemset [40, 42] | ExpSup=2949.3524
Itemset [39, 40] | ExpSup=2656.5454
Itemset [42, 49] | ExpSup=2340.9664
Itemset [66] | ExpSup=2240.6800
Itemset [33, 40] | ExpSup=2188.0331
Itemset [33, 49] | ExpSup=2081.6223
Itemset [39, 49] | ExpSup=2051.0930
Itemset [90] | ExpSup=1952.2300
Itemset [226] | ExpSup=1648.0000
Itemset [171] | ExpSup=1535.9200
Itemset [238] | ExpSup=1533.0200
Itemset [37] | ExpSup=1498.7900
Itemset [111] | ExpSup=1434.4200
Itemset [311] | ExpSup=1325.6500
Itemset [102] | ExpSup=1138.3300
Itemset [476] | ExpSup=1078.8500
Itemset [272] | ExpSup=1078.4600
Itemset [39, 42] | ExpSup=989.6571
Itemset [40, 42, 49] | ExpSup=966.2412
Itemset [439] | ExpSup=952.7200
Itemset [414] | ExpSup=923.8700
Itemset [1328] | ExpSup=906.0800
Itemset [148] | ExpSup=905.1100
Itemset [271] | ExpSup=887.9800
Itemset [2239] | ExpSup=863.9600
Itemset [33, 42] | ExpSup=834.4082
Itemset [39, 40, 49] | ExpSup=808.9326
Itemset [80] | ExpSup=804.0200
Itemset [171, 39] | ExpSup=777.1281
Itemset [534] | ExpSup=768.8800
Itemset [256] | ExpSup=750.5600
Itemset [61] | ExpSup=747.1200
Itemset [12926] | ExpSup=740.3900
Itemset [1147] | ExpSup=728.7300
Itemset [49, 90] | ExpSup=725.8888
Itemset [40, 90] | ExpSup=725.0144
Itemset [37, 39] | ExpSup=722.9175
Itemset [33, 39] | ExpSup=718.9578
Itemset [111, 39] | ExpSup=713.0731
Itemset [186] | ExpSup=712.9400
Itemset [33, 40, 49] | ExpSup=709.2820
Itemset [10] | ExpSup=700.3500
Itemset [40, 66] | ExpSup=694.9815
Itemset [16011] | ExpSup=685.3200
Itemset [14099] | ExpSup=674.0000
Itemset [124] | ExpSup=672.2400
Itemset [49, 66] | ExpSup=655.2758
Itemset [339] | ExpSup=636.0900
Itemset [593] | ExpSup=630.8400
Itemset [302] | ExpSup=629.3100
Itemset [825] | ExpSup=617.0500
Itemset [741] | ExpSup=611.9700
Itemset [16218] | ExpSup=607.1600
Itemset [287] | ExpSup=605.1500
Itemset [250] | ExpSup=603.0500
Itemset [226, 40] | ExpSup=601.9314
Itemset [605] | ExpSup=601.0300
Itemset [15833] | ExpSup=584.7600
Itemset [1394] | ExpSup=583.8300
Itemset [678] | ExpSup=577.1100
Itemset [549] | ExpSup=575.7800
Itemset [590] | ExpSup=574.3400
Itemset [202] | ExpSup=574.0900
Itemset [50] | ExpSup=564.5900
Itemset [1005] | ExpSup=558.0800
Itemset [13042] | ExpSup=551.3800
Itemset [38] | ExpSup=550.2000
Itemset [79] | ExpSup=532.9100
Itemset [37, 40] | ExpSup=529.4989
Itemset [180] | ExpSup=522.9500
Itemset [118] | ExpSup=519.4000
Itemset [171, 40] | ExpSup=518.0537
Itemset [162] | ExpSup=513.1300
Itemset [20] | ExpSup=512.1000
Itemset [238, 40] | ExpSup=500.9301
Itemset [3271] | ExpSup=500.7800
Itemset [259] | ExpSup=499.8400
Itemset [176] | ExpSup=498.7100
Itemset [523] | ExpSup=494.2300
Itemset [784] | ExpSup=485.0400
Itemset [957] | ExpSup=478.4700
Itemset [311, 40] | ExpSup=478.4274
Itemset [480] | ExpSup=477.9200
Itemset [32] | ExpSup=468.6200

============= TOP-K FREQUENT FROM UNCERTAIN DATABASES=============
 Top K = 90
 Items count from dataset: 16470
 Transactions count from dataset : 88162
 Maximum memory usage : 73.60835266113281 mb
 Total time ~ 999262 ms
===================================================
