Dataset,Algorithm,K,Runtime_ms,Memory_MB
chess,U-Apriori,30,202.9409,6.951896667480469
chess,U-FPGrowth,30,25021.6872,193.47439575195312
chess,U-HMine,30,22167.5557,166.0629425048828
chess,Hybrid,30,24692.5859,163.27427673339844
example,U-Apriori,30,4.3318,0.5958633422851562
example,U-FPGrowth,30,2.6173,0.15901947021484375
example,U-HMine,30,1.1747,0.101470947265625
example,Hybrid,30,0.7452,0.16846466064453125
foodmart,U-Apriori,30,175.4149,1.0
foodmart,U-FPGrowth,30,163.951,18.155860900878906
foodmart,U-HMine,30,135.2293,1.42059326171875
foodmart,Hybrid,30,169.4263,18.144378662109375
retail,U-Apriori,30,75357.8624,4.0
retail,U-FPGrowth,30,490289.2028,124.55531311035156
retail,U-HMine,30,397959.6317,96.41455078125
retail,Hybrid,30,453467.9634,141.87188720703125
t20i6d100k,U-Apriori,30,15711.6897,1.0
t20i6d100k,U-FPGrowth,30,673466.9249,93.6610107421875
t20i6d100k,U-HMine,30,550389.1875,11.65118408203125
t20i6d100k,Hybrid,30,669995.2374,212.42369079589844
