Dataset,Algorithm,K,Runtime_ms,Memory_MB
chess,U-Apriori,90,904.4973,11.7725830078125
chess,U-FPGrowth,90,83254.5412,150.48341369628906
chess,U-HMine,90,76125.8011,157.7691650390625
chess,Hybrid,90,85091.8468,145.0744171142578
example,U-Apriori,90,60.7649,6.738639831542969
example,U-FPGrowth,90,0.8323,0.22922515869140625
example,U-HMine,90,0.6974,0.17192840576171875
example,Hybrid,90,0.6271,0.229217529296875
foodmart,U-Apriori,90,793.1166,5.7201385498046875
foodmart,U-FPGrowth,90,283.2487,25.716598510742188
foodmart,U-HMine,90,226.0661,2.6914443969726562
foodmart,Hybrid,90,276.1984,34.696861267089844
retail,U-Apriori,90,118911.5432,9.0
retail,U-FPGrowth,90,1011946.4324,103.906005859375
retail,U-HMine,90,832843.5846,76.16552734375
retail,Hybrid,90,999262.449,73.60835266113281
t20i6d100k,U-Apriori,90,87870.3068,5.501953125
t20i6d100k,U-FPGrowth,90,2535706.9333,60.38720703125
t20i6d100k,U-HMine,90,2070435.4996,185.5558624267578
t20i6d100k,Hybrid,90,2543150.0802,167.73194885253906
