======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [9] | ExpSup=2.1200
Itemset [3] | ExpSup=1.8400
Itemset [15] | ExpSup=1.5400
Itemset [6] | ExpSup=1.4200
Itemset [31] | ExpSup=1.4000
Itemset [1] | ExpSup=1.3300
Itemset [34] | ExpSup=1.2000
Itemset [40] | ExpSup=1.1200
Itemset [33] | ExpSup=1.0400
Itemset [35] | ExpSup=1.0100
Itemset [8] | ExpSup=0.9600
Itemset [39] | ExpSup=0.8800
Itemset [34, 35] | ExpSup=0.8687
Itemset [2] | ExpSup=0.8500
Itemset [4] | ExpSup=0.8300
Itemset [10] | ExpSup=0.7700
Itemset [14] | ExpSup=0.7600
Itemset [5] | ExpSup=0.6900
Itemset [9, 8] | ExpSup=0.6768
Itemset [31, 33] | ExpSup=0.6035
Itemset [3, 5] | ExpSup=0.5953
Itemset [11] | ExpSup=0.5700
Itemset [9, 6] | ExpSup=0.5546
Itemset [13] | ExpSup=0.4900
Itemset [20] | ExpSup=0.4700
Itemset [40, 39] | ExpSup=0.4576
Itemset [12] | ExpSup=0.4500
Itemset [6, 8] | ExpSup=0.4424
Itemset [6, 11] | ExpSup=0.4275
Itemset [41] | ExpSup=0.4200
Itemset [37] | ExpSup=0.4200
Itemset [9, 6, 8] | ExpSup=0.3993
Itemset [1, 4] | ExpSup=0.3762
Itemset [15, 20] | ExpSup=0.3243
Itemset [15, 13] | ExpSup=0.3174
Itemset [3, 1] | ExpSup=0.3127
Itemset [42] | ExpSup=0.2800
Itemset [14, 12] | ExpSup=0.2610
Itemset [40, 41] | ExpSup=0.2384
Itemset [32] | ExpSup=0.2300
Itemset [13, 20] | ExpSup=0.2162
Itemset [33, 32] | ExpSup=0.1955
Itemset [15, 31] | ExpSup=0.1863
Itemset [1, 5] | ExpSup=0.1775
Itemset [40, 42] | ExpSup=0.1680
Itemset [31, 32] | ExpSup=0.1633
Itemset [36] | ExpSup=0.1500
Itemset [39, 41] | ExpSup=0.1496
Itemset [15, 13, 20] | ExpSup=0.1492
Itemset [1, 2] | ExpSup=0.1485
Itemset [2, 4] | ExpSup=0.1469
Itemset [31, 33, 32] | ExpSup=0.1388
Itemset [9, 15] | ExpSup=0.1276
Itemset [3, 1, 5] | ExpSup=0.1242
Itemset [15, 14] | ExpSup=0.1165
Itemset [6, 1] | ExpSup=0.1050
Itemset [15, 4] | ExpSup=0.0812
Itemset [1, 11] | ExpSup=0.0798
Itemset [40, 39, 41] | ExpSup=0.0778
Itemset [41, 42] | ExpSup=0.0700
Itemset [8, 4] | ExpSup=0.0682
Itemset [8, 2] | ExpSup=0.0638
Itemset [6, 1, 11] | ExpSup=0.0599
Itemset [1, 2, 4] | ExpSup=0.0564
Itemset [14, 13] | ExpSup=0.0564
Itemset [14, 20] | ExpSup=0.0517
Itemset [7] | ExpSup=0.0500
Itemset [3, 4] | ExpSup=0.0494
Itemset [3, 1, 4] | ExpSup=0.0489
Itemset [9, 7] | ExpSup=0.0470
Itemset [34, 33] | ExpSup=0.0437
Itemset [40, 41, 42] | ExpSup=0.0420
Itemset [8, 7] | ExpSup=0.0360
Itemset [15, 14, 20] | ExpSup=0.0357
Itemset [15, 14, 13] | ExpSup=0.0349
Itemset [9, 8, 7] | ExpSup=0.0338
Itemset [9, 4] | ExpSup=0.0308
Itemset [6, 7] | ExpSup=0.0295
Itemset [33, 35] | ExpSup=0.0285
Itemset [9, 6, 7] | ExpSup=0.0277
Itemset [6, 4] | ExpSup=0.0248
Itemset [14, 13, 20] | ExpSup=0.0238
Itemset [6, 2] | ExpSup=0.0232
Itemset [6, 8, 7] | ExpSup=0.0212
Itemset [9, 6, 8, 7] | ExpSup=0.0200
Itemset [8, 2, 4] | ExpSup=0.0198
Itemset [3, 2] | ExpSup=0.0195
Itemset [3, 1, 2] | ExpSup=0.0193
Itemset [4, 5] | ExpSup=0.0190
Itemset [1, 4, 5] | ExpSup=0.0188

============= TOP-K FREQUENT FROM UNCERTAIN DATABASES=============
 Top K = 90
 Items count from dataset: 27
 Transactions count from dataset : 20
 Maximum memory usage : 6.738639831542969 mb
 Total time ~ 60 ms
===================================================
