======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [1373] | ExpSup=14.8900
Itemset [391] | ExpSup=13.9500
Itemset [1380] | ExpSup=12.9800
Itemset [1347] | ExpSup=12.7800
Itemset [1012] | ExpSup=11.9000
Itemset [1291] | ExpSup=11.8800
Itemset [338] | ExpSup=11.8600
Itemset [1362] | ExpSup=11.8100
Itemset [1292] | ExpSup=11.6600
Itemset [382] | ExpSup=11.6000
Itemset [1521] | ExpSup=11.5800
Itemset [283] | ExpSup=11.4700
Itemset [260] | ExpSup=11.4300
Itemset [1423] | ExpSup=11.4200
Itemset [916] | ExpSup=11.2900
Itemset [1110] | ExpSup=11.2100
Itemset [304] | ExpSup=11.1600
Itemset [402] | ExpSup=11.0800
Itemset [528] | ExpSup=11.0700
Itemset [1390] | ExpSup=11.0400
Itemset [545] | ExpSup=10.8500
Itemset [447] | ExpSup=10.8400
Itemset [27] | ExpSup=10.8400
Itemset [1220] | ExpSup=10.8100
Itemset [1464] | ExpSup=10.8100
Itemset [1315] | ExpSup=10.7600
Itemset [357] | ExpSup=10.7200
Itemset [1293] | ExpSup=10.6700
Itemset [580] | ExpSup=10.6600
Itemset [602] | ExpSup=10.6100
Itemset [888] | ExpSup=10.5900
Itemset [1444] | ExpSup=10.5700
Itemset [1350] | ExpSup=10.5000
Itemset [469] | ExpSup=10.4900
Itemset [963] | ExpSup=10.3700
Itemset [1029] | ExpSup=10.3500
Itemset [370] | ExpSup=10.3300
Itemset [1472] | ExpSup=10.2700
Itemset [988] | ExpSup=10.2000
Itemset [178] | ExpSup=10.1600
Itemset [922] | ExpSup=10.1600
Itemset [1261] | ExpSup=10.1500
Itemset [355] | ExpSup=10.1300
Itemset [728] | ExpSup=10.1200
Itemset [924] | ExpSup=10.0600
Itemset [1487] | ExpSup=10.0500
Itemset [94] | ExpSup=10.0400
Itemset [625] | ExpSup=10.0300
Itemset [30] | ExpSup=9.9700
Itemset [378] | ExpSup=9.9700
Itemset [1543] | ExpSup=9.9500
Itemset [617] | ExpSup=9.9100
Itemset [340] | ExpSup=9.9100
Itemset [470] | ExpSup=9.9100
Itemset [69] | ExpSup=9.8800
Itemset [435] | ExpSup=9.8200
Itemset [831] | ExpSup=9.8200
Itemset [1442] | ExpSup=9.8000
Itemset [753] | ExpSup=9.7900
Itemset [459] | ExpSup=9.7900
Itemset [1081] | ExpSup=9.7600
Itemset [1310] | ExpSup=9.7600
Itemset [844] | ExpSup=9.7500
Itemset [1146] | ExpSup=9.7400
Itemset [918] | ExpSup=9.7400
Itemset [1001] | ExpSup=9.7200
Itemset [1522] | ExpSup=9.7000
Itemset [1459] | ExpSup=9.6900
Itemset [278] | ExpSup=9.6700
Itemset [795] | ExpSup=9.6400
Itemset [1351] | ExpSup=9.6400
Itemset [824] | ExpSup=9.6200
Itemset [49] | ExpSup=9.6200
Itemset [946] | ExpSup=9.6100
Itemset [1399] | ExpSup=9.6000
Itemset [1526] | ExpSup=9.5800
Itemset [1473] | ExpSup=9.5700
Itemset [67] | ExpSup=9.5300
Itemset [488] | ExpSup=9.5300
Itemset [1048] | ExpSup=9.5300
Itemset [1465] | ExpSup=9.5200
Itemset [756] | ExpSup=9.4700
Itemset [1511] | ExpSup=9.4500
Itemset [941] | ExpSup=9.4000
Itemset [1045] | ExpSup=9.3700
Itemset [1160] | ExpSup=9.3500
Itemset [225] | ExpSup=9.3200
Itemset [272] | ExpSup=9.2800
Itemset [703] | ExpSup=9.2700
Itemset [80] | ExpSup=9.2700

============= TOP-K FREQUENT FROM UNCERTAIN DATABASES=============
 Top K = 90
 Items count from dataset: 1559
 Transactions count from dataset : 4141
 Maximum memory usage : 5.7201385498046875 mb
 Total time ~ 793 ms
===================================================
