======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [35] | ExpSup=1671.9000
Itemset [32] | ExpSup=1656.4400
Itemset [27] | ExpSup=1628.4800
Itemset [22] | ExpSup=1619.8500
Itemset [25] | ExpSup=1603.0100
Itemset [36] | ExpSup=1590.4500
Itemset [12] | ExpSup=1579.6400
Itemset [37] | ExpSup=1568.9500
Itemset [34] | ExpSup=1554.7100
Itemset [24] | ExpSup=1551.3000
Itemset [11] | ExpSup=1539.9400
Itemset [39] | ExpSup=1536.2900
Itemset [30] | ExpSup=1520.1500
Itemset [10] | ExpSup=1481.2000
Itemset [13] | ExpSup=1475.5100
Itemset [20] | ExpSup=1465.6000
Itemset [28] | ExpSup=1379.6700
Itemset [38] | ExpSup=1333.6000
Itemset [3] | ExpSup=1329.0700
Itemset [29] | ExpSup=1305.9500
Itemset [23] | ExpSup=1292.6000
Itemset [17] | ExpSup=1244.7700
Itemset [42] | ExpSup=1209.9400
Itemset [41] | ExpSup=1201.8600
Itemset [33] | ExpSup=1140.6400
Itemset [21] | ExpSup=1128.4900
Itemset [26] | ExpSup=1125.1900
Itemset [19] | ExpSup=1113.8300
Itemset [14] | ExpSup=1092.8400
Itemset [16] | ExpSup=1028.9900
Itemset [4] | ExpSup=1022.7700
Itemset [18] | ExpSup=1004.5100
Itemset [40] | ExpSup=1003.8000
Itemset [31] | ExpSup=1000.8900
Itemset [2] | ExpSup=926.5800
Itemset [15] | ExpSup=872.2200
Itemset [35, 32] | ExpSup=858.5977
Itemset [35, 27] | ExpSup=853.5214
Itemset [32, 27] | ExpSup=849.4694
Itemset [1] | ExpSup=847.3600
Itemset [35, 22] | ExpSup=843.9418
Itemset [35, 25] | ExpSup=840.6453
Itemset [32, 22] | ExpSup=836.0532
Itemset [35, 36] | ExpSup=835.1612
Itemset [35, 12] | ExpSup=829.0258
Itemset [32, 36] | ExpSup=826.9796
Itemset [32, 25] | ExpSup=821.8062
Itemset [27, 25] | ExpSup=820.4064
Itemset [27, 22] | ExpSup=816.5309
Itemset [35, 37] | ExpSup=815.5731
Itemset [35, 34] | ExpSup=815.4709
Itemset [32, 12] | ExpSup=815.0466
Itemset [22, 25] | ExpSup=814.6394
Itemset [32, 37] | ExpSup=812.4199
Itemset [32, 34] | ExpSup=810.3759
Itemset [35, 24] | ExpSup=808.3032
Itemset [32, 24] | ExpSup=808.2354
Itemset [27, 12] | ExpSup=806.9968
Itemset [27, 36] | ExpSup=805.9815
Itemset [35, 11] | ExpSup=805.3341
Itemset [22, 37] | ExpSup=803.8509
Itemset [22, 12] | ExpSup=803.4460
Itemset [22, 36] | ExpSup=803.2676
Itemset [32, 11] | ExpSup=802.4023
Itemset [70] | ExpSup=801.5200
Itemset [35, 30] | ExpSup=799.9169
Itemset [35, 39] | ExpSup=799.7492
Itemset [25, 36] | ExpSup=798.8708
Itemset [27, 37] | ExpSup=798.8124
Itemset [27, 24] | ExpSup=795.8339

============= TOP-K FREQUENT FROM UNCERTAIN DATABASES=============
 Top K = 70
 Items count from dataset: 75
 Transactions count from dataset : 3196
 Maximum memory usage : 10.0 mb
 Total time ~ 1302 ms
===================================================
