======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [1415] | ExpSup=13.5100
Itemset [380] | ExpSup=13.0600
Itemset [876] | ExpSup=12.9600
Itemset [1297] | ExpSup=12.1100
Itemset [421] | ExpSup=11.9800
Itemset [663] | ExpSup=11.7700
Itemset [173] | ExpSup=11.6800
Itemset [183] | ExpSup=11.6600
Itemset [1176] | ExpSup=11.6100
Itemset [497] | ExpSup=11.4700
Itemset [660] | ExpSup=11.4000
Itemset [100] | ExpSup=11.2500
Itemset [598] | ExpSup=11.1200
Itemset [1052] | ExpSup=11.1100
Itemset [443] | ExpSup=11.0700
Itemset [1064] | ExpSup=11.0500
Itemset [1541] | ExpSup=11.0200
Itemset [1551] | ExpSup=10.9900
Itemset [196] | ExpSup=10.9400
Itemset [160] | ExpSup=10.9300
Itemset [1432] | ExpSup=10.9100
Itemset [873] | ExpSup=10.8700
Itemset [126] | ExpSup=10.8000
Itemset [93] | ExpSup=10.7900
Itemset [1371] | ExpSup=10.6900
Itemset [466] | ExpSup=10.6900
Itemset [1115] | ExpSup=10.6800
Itemset [174] | ExpSup=10.6600
Itemset [1054] | ExpSup=10.6400
Itemset [1078] | ExpSup=10.5600
Itemset [1257] | ExpSup=10.5500
Itemset [1542] | ExpSup=10.4400
Itemset [484] | ExpSup=10.4200
Itemset [78] | ExpSup=10.4200
Itemset [1387] | ExpSup=10.3200
Itemset [1122] | ExpSup=10.2900
Itemset [809] | ExpSup=10.2800
Itemset [1348] | ExpSup=10.2600
Itemset [1202] | ExpSup=10.2500
Itemset [331] | ExpSup=10.2200
Itemset [1386] | ExpSup=10.2100
Itemset [1477] | ExpSup=10.2100
Itemset [16] | ExpSup=10.1900
Itemset [1127] | ExpSup=10.1900
Itemset [654] | ExpSup=10.1800
Itemset [1058] | ExpSup=10.1800
Itemset [1413] | ExpSup=10.1500
Itemset [1302] | ExpSup=10.1300
Itemset [468] | ExpSup=10.1100
Itemset [395] | ExpSup=10.1100
Itemset [526] | ExpSup=10.0700
Itemset [1125] | ExpSup=10.0700
Itemset [905] | ExpSup=10.0700
Itemset [1496] | ExpSup=10.0600
Itemset [1102] | ExpSup=10.0300
Itemset [1367] | ExpSup=10.0300
Itemset [925] | ExpSup=9.9400
Itemset [1044] | ExpSup=9.9000
Itemset [726] | ExpSup=9.8900
Itemset [409] | ExpSup=9.8700
Itemset [323] | ExpSup=9.7400
Itemset [15] | ExpSup=9.7400
Itemset [292] | ExpSup=9.7200
Itemset [167] | ExpSup=9.6800
Itemset [1456] | ExpSup=9.6700
Itemset [1284] | ExpSup=9.6400
Itemset [915] | ExpSup=9.6300
Itemset [229] | ExpSup=9.6100
Itemset [1035] | ExpSup=9.6000
Itemset [1468] | ExpSup=9.6000

============= TOP-K FREQUENT FROM UNCERTAIN DATABASES=============
 Top K = 70
 Items count from dataset: 1559
 Transactions count from dataset : 4141
 Maximum memory usage : 8.0557861328125 mb
 Total time ~ 693 ms
===================================================
