======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [604] | ExpSup=12.4500
Itemset [1147] | ExpSup=12.3600
Itemset [229] | ExpSup=12.3300
Itemset [331] | ExpSup=12.2400
Itemset [1106] | ExpSup=12.2300
Itemset [1415] | ExpSup=11.9800
Itemset [421] | ExpSup=11.9400
Itemset [334] | ExpSup=11.9100
Itemset [598] | ExpSup=11.8500
Itemset [126] | ExpSup=11.7100
Itemset [1551] | ExpSup=11.5700
Itemset [1058] | ExpSup=11.5400
Itemset [1297] | ExpSup=11.4700
Itemset [726] | ExpSup=11.4100
Itemset [1188] | ExpSup=11.2900
Itemset [348] | ExpSup=11.1700
Itemset [1127] | ExpSup=11.1600
Itemset [1475] | ExpSup=10.8300
Itemset [1033] | ExpSup=10.8300
Itemset [176] | ExpSup=10.7900
Itemset [57] | ExpSup=10.7900
Itemset [1167] | ExpSup=10.7500
Itemset [607] | ExpSup=10.7000
Itemset [173] | ExpSup=10.6300
Itemset [663] | ExpSup=10.6200
Itemset [1055] | ExpSup=10.5800
Itemset [1478] | ExpSup=10.5600
Itemset [905] | ExpSup=10.5600
Itemset [78] | ExpSup=10.4200
Itemset [395] | ExpSup=10.4000
Itemset [1013] | ExpSup=10.3900
Itemset [1202] | ExpSup=10.3500
Itemset [1115] | ExpSup=10.3500
Itemset [1282] | ExpSup=10.3100
Itemset [1333] | ExpSup=10.2900
Itemset [1302] | ExpSup=10.2700
Itemset [189] | ExpSup=10.2600
Itemset [466] | ExpSup=10.2500
Itemset [1266] | ExpSup=10.2400
Itemset [1247] | ExpSup=10.2400
Itemset [752] | ExpSup=10.2000
Itemset [1506] | ExpSup=10.1900
Itemset [497] | ExpSup=10.1800
Itemset [876] | ExpSup=10.1600
Itemset [183] | ExpSup=10.1400
Itemset [196] | ExpSup=10.1000
Itemset [1289] | ExpSup=10.0900
Itemset [255] | ExpSup=10.0700
Itemset [1539] | ExpSup=10.0700
Itemset [1467] | ExpSup=10.0300
Itemset [525] | ExpSup=10.0200
Itemset [1371] | ExpSup=10.0100
