======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [32] | ExpSup=1652.9000
Itemset [27] | ExpSup=1628.2300
Itemset [35] | ExpSup=1617.8700
Itemset [36] | ExpSup=1600.8800
Itemset [22] | ExpSup=1595.4800
Itemset [25] | ExpSup=1586.1700
Itemset [37] | ExpSup=1562.1100
Itemset [30] | ExpSup=1561.1400
Itemset [24] | ExpSup=1552.4000
Itemset [12] | ExpSup=1547.4900
Itemset [39] | ExpSup=1544.0100
Itemset [34] | ExpSup=1530.7600
Itemset [11] | ExpSup=1513.3300
Itemset [13] | ExpSup=1478.2900
Itemset [20] | ExpSup=1438.1900
Itemset [10] | ExpSup=1422.8200
Itemset [28] | ExpSup=1388.7800
Itemset [29] | ExpSup=1339.2700
Itemset [38] | ExpSup=1323.3700
Itemset [3] | ExpSup=1318.7000
Itemset [23] | ExpSup=1304.3600
Itemset [17] | ExpSup=1288.7200
Itemset [42] | ExpSup=1243.7000
Itemset [41] | ExpSup=1187.2300
Itemset [19] | ExpSup=1139.6200
Itemset [33] | ExpSup=1108.3900
Itemset [21] | ExpSup=1103.2600
Itemset [26] | ExpSup=1098.4500
Itemset [14] | ExpSup=1080.5800
Itemset [16] | ExpSup=1029.3900
Itemset [31] | ExpSup=1020.2900
Itemset [40] | ExpSup=1019.3700
Itemset [4] | ExpSup=1001.4000
Itemset [18] | ExpSup=999.4100
Itemset [2] | ExpSup=943.5500
Itemset [15] | ExpSup=873.2400
Itemset [1] | ExpSup=857.1900
Itemset [27, 32] | ExpSup=844.7867
Itemset [32, 35] | ExpSup=837.4067
Itemset [27, 35] | ExpSup=836.7516
Itemset [25, 32] | ExpSup=835.1652
Itemset [22, 32] | ExpSup=827.8610
Itemset [25, 27] | ExpSup=821.3981
Itemset [32, 36] | ExpSup=821.3512
Itemset [30, 32] | ExpSup=814.5927
Itemset [27, 36] | ExpSup=813.1715
Itemset [22, 27] | ExpSup=812.7790
Itemset [32, 37] | ExpSup=808.8769
Itemset [35, 36] | ExpSup=807.3341
Itemset [12, 32] | ExpSup=804.5728
Itemset [25, 35] | ExpSup=803.6489
Itemset [22, 36] | ExpSup=803.1484
Itemset [22, 35] | ExpSup=802.8730
Itemset [32, 39] | ExpSup=800.3946
Itemset [27, 30] | ExpSup=799.2457
Itemset [24, 32] | ExpSup=798.2485
Itemset [27, 37] | ExpSup=797.8883
Itemset [24, 27] | ExpSup=797.6861
Itemset [30, 35] | ExpSup=795.3988
Itemset [36, 39] | ExpSup=794.7369
Itemset [27, 39] | ExpSup=792.7284
Itemset [25, 36] | ExpSup=792.6025
Itemset [25, 30] | ExpSup=791.7095
Itemset [22, 25] | ExpSup=791.4036
Itemset [32, 34] | ExpSup=788.6861
Itemset [22, 30] | ExpSup=788.4270
Itemset [70] | ExpSup=788.1000
Itemset [35, 37] | ExpSup=787.7917
Itemset [12, 27] | ExpSup=786.1981
Itemset [12, 35] | ExpSup=781.9747
Itemset [24, 35] | ExpSup=780.3249
Itemset [35, 39] | ExpSup=779.7222
Itemset [11, 27] | ExpSup=779.6781
Itemset [36, 37] | ExpSup=779.5259
Itemset [12, 36] | ExpSup=779.3724
Itemset [22, 37] | ExpSup=778.6268
Itemset [22, 39] | ExpSup=778.6062
Itemset [22, 24] | ExpSup=778.1986
Itemset [11, 32] | ExpSup=777.8448
Itemset [30, 36] | ExpSup=777.7933
Itemset [34, 35] | ExpSup=777.7171
Itemset [12, 22] | ExpSup=775.7616
Itemset [27, 34] | ExpSup=774.8620
Itemset [25, 37] | ExpSup=773.2830
Itemset [24, 36] | ExpSup=772.5972
Itemset [11, 35] | ExpSup=771.4720
Itemset [24, 25] | ExpSup=769.9760
Itemset [24, 39] | ExpSup=769.1747
Itemset [12, 25] | ExpSup=765.9849
Itemset [11, 25] | ExpSup=764.6060

============= TOP-K FREQUENT FROM UNCERTAIN DATABASES=============
 Top K = 90
 Items count from dataset: 75
 Transactions count from dataset : 3196
 Maximum memory usage : 191.35147094726562 mb
 Total time ~ 109242 ms
===================================================
