======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [598] | ExpSup=13.5100
Itemset [380] | ExpSup=12.8200
Itemset [160] | ExpSup=12.5700
Itemset [421] | ExpSup=12.3900
Itemset [173] | ExpSup=12.2300
Itemset [1551] | ExpSup=11.9900
Itemset [1122] | ExpSup=11.9500
Itemset [331] | ExpSup=11.5800
Itemset [829] | ExpSup=11.4800
Itemset [876] | ExpSup=11.4200
Itemset [654] | ExpSup=11.3300
Itemset [660] | ExpSup=11.1700
Itemset [1415] | ExpSup=11.1100
Itemset [100] | ExpSup=11.1000
Itemset [1535] | ExpSup=11.0100
Itemset [1500] | ExpSup=10.9700
Itemset [1522] | ExpSup=10.9200
Itemset [525] | ExpSup=10.9200
Itemset [1056] | ExpSup=10.8300
Itemset [130] | ExpSup=10.8200
Itemset [433] | ExpSup=10.7800
Itemset [873] | ExpSup=10.7400
Itemset [670] | ExpSup=10.6700
Itemset [20] | ExpSup=10.6300
Itemset [1432] | ExpSup=10.5800
Itemset [183] | ExpSup=10.5800
Itemset [1034] | ExpSup=10.5400
Itemset [78] | ExpSup=10.5200
Itemset [1360] | ExpSup=10.5000
Itemset [604] | ExpSup=10.4800
Itemset [1381] | ExpSup=10.4400
Itemset [1052] | ExpSup=10.4100
Itemset [686] | ExpSup=10.3900
Itemset [1100] | ExpSup=10.3800
Itemset [1127] | ExpSup=10.3400
Itemset [1182] | ExpSup=10.3300
Itemset [497] | ExpSup=10.3300
Itemset [170] | ExpSup=10.2800
Itemset [1387] | ExpSup=10.2600
Itemset [1176] | ExpSup=10.2200
Itemset [1521] | ExpSup=10.1900
Itemset [1367] | ExpSup=10.1300
Itemset [1531] | ExpSup=10.1200
Itemset [1078] | ExpSup=10.0900
Itemset [1302] | ExpSup=10.0700
Itemset [437] | ExpSup=10.0500
Itemset [1456] | ExpSup=10.0400
Itemset [348] | ExpSup=10.0300
Itemset [1065] | ExpSup=10.0300
Itemset [754] | ExpSup=10.0100
Itemset [93] | ExpSup=10.0100
Itemset [382] | ExpSup=9.9700
Itemset [817] | ExpSup=9.9700
Itemset [443] | ExpSup=9.9600
Itemset [743] | ExpSup=9.9500
Itemset [1119] | ExpSup=9.8400
Itemset [255] | ExpSup=9.8400
Itemset [194] | ExpSup=9.8200
Itemset [1444] | ExpSup=9.7600
Itemset [1256] | ExpSup=9.7300
Itemset [1101] | ExpSup=9.7300
Itemset [555] | ExpSup=9.7000
Itemset [1280] | ExpSup=9.7000
Itemset [468] | ExpSup=9.6900
Itemset [1266] | ExpSup=9.6700
Itemset [878] | ExpSup=9.6700
Itemset [1023] | ExpSup=9.6600
Itemset [1450] | ExpSup=9.6500
Itemset [314] | ExpSup=9.6500
Itemset [1491] | ExpSup=9.6400
Itemset [323] | ExpSup=9.6000
Itemset [402] | ExpSup=9.5900
Itemset [1511] | ExpSup=9.5800
Itemset [677] | ExpSup=9.5500
Itemset [1164] | ExpSup=9.5400
Itemset [19] | ExpSup=9.5300
Itemset [1282] | ExpSup=9.5300
Itemset [1401] | ExpSup=9.5300
Itemset [1382] | ExpSup=9.5200
Itemset [196] | ExpSup=9.5200
Itemset [1035] | ExpSup=9.5200
Itemset [342] | ExpSup=9.4800
Itemset [229] | ExpSup=9.4700
Itemset [277] | ExpSup=9.4500
Itemset [1329] | ExpSup=9.4300
Itemset [353] | ExpSup=9.4200
Itemset [583] | ExpSup=9.3900
Itemset [1333] | ExpSup=9.3800
Itemset [1200] | ExpSup=9.3800
Itemset [886] | ExpSup=9.3600
Itemset [1236] | ExpSup=9.3400
Itemset [90] | ExpSup=9.3300
Itemset [1348] | ExpSup=9.3300
Itemset [821] | ExpSup=9.3300
Itemset [1475] | ExpSup=9.3200
Itemset [426] | ExpSup=9.2900
Itemset [1307] | ExpSup=9.2500
Itemset [1033] | ExpSup=9.2400
Itemset [1254] | ExpSup=9.2300
Itemset [176] | ExpSup=9.2200
Itemset [487] | ExpSup=9.2100
Itemset [617] | ExpSup=9.2100
Itemset [1063] | ExpSup=9.1600
Itemset [248] | ExpSup=9.1500
Itemset [712] | ExpSup=9.1500
Itemset [389] | ExpSup=9.1300
Itemset [1265] | ExpSup=9.1200
Itemset [845] | ExpSup=9.1200
Itemset [1083] | ExpSup=9.1100
Itemset [1478] | ExpSup=9.1100
Itemset [1188] | ExpSup=9.1000
Itemset [1153] | ExpSup=9.0700
Itemset [925] | ExpSup=9.0600
Itemset [1389] | ExpSup=9.0400
Itemset [375] | ExpSup=9.0400
Itemset [1234] | ExpSup=9.0400
Itemset [206] | ExpSup=9.0300
Itemset [1297] | ExpSup=9.0300
Itemset [1316] | ExpSup=9.0100
Itemset [47] | ExpSup=9.0000
Itemset [374] | ExpSup=8.9900
Itemset [356] | ExpSup=8.9900
Itemset [376] | ExpSup=8.9900
Itemset [1412] | ExpSup=8.9400
Itemset [526] | ExpSup=8.9400
Itemset [234] | ExpSup=8.9400
Itemset [629] | ExpSup=8.9300
