======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [384] | ExpSup=7070.7500
Itemset [200] | ExpSup=7024.4200
Itemset [684] | ExpSup=6143.8600
Itemset [204] | ExpSup=5885.6500
Itemset [819] | ExpSup=5184.7000
Itemset [243] | ExpSup=5121.1100
Itemset [253] | ExpSup=5089.6800
Itemset [138] | ExpSup=5011.5500
Itemset [918] | ExpSup=4915.0400
Itemset [810] | ExpSup=4651.7800
Itemset [83] | ExpSup=4621.1200
Itemset [22] | ExpSup=4608.3800
Itemset [714] | ExpSup=4588.1700
Itemset [2] | ExpSup=4481.4800
Itemset [113] | ExpSup=4443.4100
Itemset [277] | ExpSup=4367.4400
Itemset [202] | ExpSup=4221.2400
Itemset [155] | ExpSup=4213.5100
Itemset [333] | ExpSup=4205.4100
Itemset [168] | ExpSup=4182.1000
Itemset [466] | ExpSup=4150.5600
Itemset [116] | ExpSup=4112.3900
Itemset [351] | ExpSup=4059.9200
Itemset [198] | ExpSup=4046.1500
Itemset [299] | ExpSup=4001.2800
Itemset [247] | ExpSup=3949.2300
Itemset [331] | ExpSup=3905.2600
Itemset [606] | ExpSup=3733.2800
Itemset [347] | ExpSup=3709.0200
Itemset [983] | ExpSup=3645.1300
Itemset [759] | ExpSup=3629.8200
Itemset [256] | ExpSup=3611.3800
Itemset [427] | ExpSup=3607.4400
Itemset [86] | ExpSup=3600.5400
Itemset [152] | ExpSup=3501.9500
Itemset [411] | ExpSup=3480.5400
Itemset [914] | ExpSup=3469.7200
Itemset [459] | ExpSup=3391.6900
Itemset [362] | ExpSup=3373.0700
Itemset [619] | ExpSup=3319.8400
Itemset [163] | ExpSup=3315.3600
Itemset [148] | ExpSup=3314.0800
Itemset [710] | ExpSup=3305.9600
Itemset [105] | ExpSup=3273.0100
Itemset [111] | ExpSup=3271.4300
Itemset [429] | ExpSup=3219.1900
Itemset [182] | ExpSup=3211.1700
Itemset [663] | ExpSup=3171.4600
Itemset [592] | ExpSup=3156.2300
Itemset [147] | ExpSup=3138.9400
Itemset [264] | ExpSup=3130.4000
Itemset [199] | ExpSup=3117.7900
Itemset [399] | ExpSup=3115.6900
Itemset [410] | ExpSup=3113.7300
Itemset [343] | ExpSup=3112.3600
Itemset [129] | ExpSup=3104.5700
Itemset [96] | ExpSup=3100.6400
Itemset [529] | ExpSup=3088.1400
Itemset [960] | ExpSup=3086.9000
Itemset [194] | ExpSup=3078.9600
Itemset [186] | ExpSup=3068.7200
Itemset [205] | ExpSup=3052.4000
Itemset [145] | ExpSup=3042.4100
Itemset [751] | ExpSup=3022.9300
Itemset [103] | ExpSup=3012.0200
Itemset [989] | ExpSup=3007.5800
Itemset [484] | ExpSup=3004.6400
Itemset [192] | ExpSup=2983.0400
Itemset [952] | ExpSup=2924.5100
Itemset [28] | ExpSup=2897.7800

============= TOP-K FREQUENT FROM UNCERTAIN DATABASES=============
 Top K = 70
 Items count from dataset: 893
 Transactions count from dataset : 99922
 Maximum memory usage : 93.87744140625 mb
 Total time ~ 1731794 ms
===================================================
