======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [384] | ExpSup=7097.8900
Itemset [200] | ExpSup=6988.5400
Itemset [684] | ExpSup=6178.2000
Itemset [204] | ExpSup=5893.9700
Itemset [819] | ExpSup=5151.3800
Itemset [243] | ExpSup=5094.5500
Itemset [138] | ExpSup=5061.9300
Itemset [253] | ExpSup=5034.5300
Itemset [918] | ExpSup=4852.5800
Itemset [22] | ExpSup=4645.5400
Itemset [810] | ExpSup=4621.0300
Itemset [83] | ExpSup=4614.8100
Itemset [714] | ExpSup=4571.6600
Itemset [2] | ExpSup=4493.1700
Itemset [113] | ExpSup=4449.1500
Itemset [277] | ExpSup=4363.1200
Itemset [202] | ExpSup=4257.8000
Itemset [155] | ExpSup=4207.5900
Itemset [333] | ExpSup=4196.1000
Itemset [168] | ExpSup=4176.2000
Itemset [466] | ExpSup=4163.6100
Itemset [116] | ExpSup=4076.5100
Itemset [198] | ExpSup=4074.0800
Itemset [351] | ExpSup=4042.1200
Itemset [299] | ExpSup=4004.5800
Itemset [247] | ExpSup=3935.6500
Itemset [331] | ExpSup=3916.1400
Itemset [347] | ExpSup=3700.6700
Itemset [759] | ExpSup=3677.3800
Itemset [983] | ExpSup=3664.2600
Itemset [606] | ExpSup=3652.7200
Itemset [427] | ExpSup=3637.8300
Itemset [256] | ExpSup=3607.2200
Itemset [86] | ExpSup=3573.4400
Itemset [411] | ExpSup=3484.0500
Itemset [152] | ExpSup=3477.6800
Itemset [914] | ExpSup=3470.0000
Itemset [362] | ExpSup=3353.0500
Itemset [459] | ExpSup=3342.0100
Itemset [148] | ExpSup=3314.9800
Itemset [163] | ExpSup=3301.7300
Itemset [619] | ExpSup=3295.4400
Itemset [105] | ExpSup=3291.2200
Itemset [710] | ExpSup=3266.3300
Itemset [429] | ExpSup=3244.2800
Itemset [111] | ExpSup=3210.8200
Itemset [264] | ExpSup=3170.2900
Itemset [182] | ExpSup=3167.0300
Itemset [194] | ExpSup=3154.4900
Itemset [147] | ExpSup=3147.3600
Itemset [592] | ExpSup=3146.1600
Itemset [663] | ExpSup=3132.9800
Itemset [129] | ExpSup=3116.5300
Itemset [529] | ExpSup=3097.9500
Itemset [343] | ExpSup=3094.1600
Itemset [186] | ExpSup=3089.1300
Itemset [410] | ExpSup=3088.0700
Itemset [751] | ExpSup=3086.8900
Itemset [199] | ExpSup=3083.3200
Itemset [960] | ExpSup=3078.2300
Itemset [989] | ExpSup=3040.8600
Itemset [399] | ExpSup=3038.8500
Itemset [205] | ExpSup=3018.8700
Itemset [145] | ExpSup=3018.1400
Itemset [103] | ExpSup=3015.5600
Itemset [96] | ExpSup=3007.8700
Itemset [192] | ExpSup=2973.5200
Itemset [484] | ExpSup=2972.9300
Itemset [226] | ExpSup=2937.9400
Itemset [952] | ExpSup=2920.8800
Itemset [28] | ExpSup=2912.5800
Itemset [60] | ExpSup=2900.3600
Itemset [378] | ExpSup=2888.7900
Itemset [203] | ExpSup=2884.8700
Itemset [919] | ExpSup=2837.4000
Itemset [259] | ExpSup=2793.8600
Itemset [255] | ExpSup=2786.1500
Itemset [87] | ExpSup=2772.7000
Itemset [920] | ExpSup=2770.5800
Itemset [448] | ExpSup=2767.2400
Itemset [675] | ExpSup=2758.0000
Itemset [325] | ExpSup=2750.9600
Itemset [452] | ExpSup=2744.4100
Itemset [352] | ExpSup=2742.5600
Itemset [513] | ExpSup=2689.6000
Itemset [1000] | ExpSup=2673.8100
Itemset [310] | ExpSup=2653.2500
Itemset [257] | ExpSup=2649.6500
Itemset [488] | ExpSup=2644.7500
Itemset [441] | ExpSup=2628.2800
Itemset [436] | ExpSup=2624.0700
Itemset [505] | ExpSup=2622.8800
Itemset [457] | ExpSup=2611.4600
Itemset [781] | ExpSup=2606.0100
Itemset [162] | ExpSup=2574.6300
Itemset [298] | ExpSup=2570.8300
Itemset [196] | ExpSup=2556.5900
Itemset [909] | ExpSup=2551.4700
Itemset [276] | ExpSup=2550.1500
Itemset [866] | ExpSup=2535.7400

============= TOP-K FREQUENT FROM UNCERTAIN DATABASES=============
 Top K = 100
 Items count from dataset: 893
 Transactions count from dataset : 99922
 Maximum memory usage : 16.0 mb
 Total time ~ 91932 ms
===================================================
