======PRINT TOP-K FREQUENT ITEMSETS FROM UNCERTAIN DATABASES=====

Itemset [173] | ExpSup=15.8500
Itemset [876] | ExpSup=13.3400
Itemset [392] | ExpSup=12.6200
Itemset [170] | ExpSup=12.2300
Itemset [466] | ExpSup=12.1500
Itemset [598] | ExpSup=12.0600
Itemset [421] | ExpSup=11.9800
Itemset [663] | ExpSup=11.6200
Itemset [829] | ExpSup=11.5800
Itemset [183] | ExpSup=11.4900
Itemset [1176] | ExpSup=11.4100
Itemset [1541] | ExpSup=11.3300
Itemset [1234] | ExpSup=11.2900
Itemset [1426] | ExpSup=11.2100
Itemset [402] | ExpSup=11.0600
Itemset [677] | ExpSup=10.9400
Itemset [525] | ExpSup=10.8900
Itemset [189] | ExpSup=10.8900
Itemset [380] | ExpSup=10.8800
Itemset [376] | ExpSup=10.8500
Itemset [331] | ExpSup=10.8000
Itemset [484] | ExpSup=10.7900
Itemset [1182] | ExpSup=10.7100
Itemset [78] | ExpSup=10.6800
Itemset [1289] | ExpSup=10.6700
Itemset [229] | ExpSup=10.6500
Itemset [255] | ExpSup=10.6300
Itemset [1121] | ExpSup=10.4700
Itemset [1202] | ExpSup=10.4400
Itemset [174] | ExpSup=10.4300
Itemset [1302] | ExpSup=10.4200
Itemset [1237] | ExpSup=10.3800
Itemset [1054] | ExpSup=10.3800
Itemset [648] | ExpSup=10.3600
Itemset [1415] | ExpSup=10.3400
Itemset [395] | ExpSup=10.3200
Itemset [93] | ExpSup=10.3200
Itemset [1115] | ExpSup=10.2000
Itemset [1034] | ExpSup=10.1900
Itemset [375] | ExpSup=10.1500
Itemset [575] | ExpSup=10.1500
Itemset [1058] | ExpSup=10.1500
Itemset [1100] | ExpSup=10.1400
Itemset [743] | ExpSup=10.1400
Itemset [100] | ExpSup=10.1300
Itemset [1450] | ExpSup=10.1100
Itemset [443] | ExpSup=10.1000
Itemset [1542] | ExpSup=10.0600
Itemset [1387] | ExpSup=10.0500
Itemset [1468] | ExpSup=10.0400
Itemset [1401] | ExpSup=10.0200
Itemset [1413] | ExpSup=10.0200
Itemset [159] | ExpSup=9.9800
Itemset [1389] | ExpSup=9.9800
